yearID,lgID,R,RA,G,leagueRPG,leagueRAPG
1901,AL,5873,5873,1082,5.43,5.43
1901,NL,5194,5194,1108,4.69,4.69
1902,AL,5407,5407,1088,4.97,4.97
1902,NL,4494,4494,1098,4.09,4.09
1903,AL,4543,4543,1096,4.15,4.15
1903,NL,5349,5349,1102,4.85,4.85
1904,AL,4433,4433,1216,3.65,3.65
1904,NL,4872,4872,1224,3.98,3.98
1905,AL,4547,4547,1212,3.75,3.75
1905,NL,5092,5092,1224,4.16,4.16
1906,AL,4494,4491,1202,3.74,3.74
1906,NL,4387,4387,1214,3.61,3.61
1907,AL,4514,4514,1198,3.77,3.77
1907,NL,4189,4189,1208,3.47,3.47
1908,AL,4286,4286,1224,3.5,3.5
1908,NL,4136,4136,1232,3.36,3.36
1909,AL,4267,4267,1214,3.51,3.51
1909,NL,4543,4543,1222,3.72,3.72
1910,AL,4577,4577,1218,3.76,3.76
1910,NL,5007,5007,1228,4.08,4.08
1911,AL,5658,5658,1220,4.64,4.64
1911,NL,5506,5506,1216,4.53,4.53
1912,AL,5495,5495,1222,4.5,4.5
1912,NL,5659,5659,1216,4.65,4.65
1913,AL,4823,4823,1218,3.96,3.96
1913,NL,5141,5141,1208,4.26,4.26
1914,AL,4610,4610,1226,3.76,3.76
1914,NL,4798,4798,1230,3.9,3.9
1915,AL,4922,4922,1222,4.03,4.03
1915,NL,4522,4522,1222,3.7,3.7
1916,AL,4599,4599,1230,3.74,3.74
1916,NL,4290,4290,1224,3.5,3.5
1917,AL,4540,4540,1226,3.7,3.7
1917,NL,4408,4408,1224,3.6,3.6
1918,AL,3703,3703,1004,3.69,3.69
1918,NL,3682,3682,1008,3.65,3.65
1919,AL,4586,4586,1114,4.12,4.12
1919,NL,4071,4071,1112,3.66,3.66
1920,AL,5869,5869,1228,4.78,4.78
1920,NL,4893,4893,1228,3.98,3.98
1921,AL,6303,6303,1228,5.13,5.13
1921,NL,5632,5632,1224,4.6,4.6
1922,AL,5865,5865,1232,4.76,4.76
1922,NL,6194,6194,1230,5.04,5.04
1923,AL,5887,5887,1222,4.82,4.82
1923,NL,5987,5987,1230,4.87,4.87
1924,AL,6141,6141,1224,5.02,5.02
1924,NL,5581,5581,1224,4.56,4.56
1925,AL,6401,6401,1224,5.23,5.23
1925,NL,6195,6195,1224,5.06,5.06
1926,AL,5831,5831,1222,4.77,4.77
1926,NL,5612,5612,1222,4.59,4.59
1927,AL,6094,6094,1228,4.96,4.96
1927,NL,5651,5651,1228,4.6,4.6
1928,AL,5876,5876,1230,4.78,4.78
1928,NL,5769,5769,1224,4.71,4.71
1929,AL,6138,6138,1220,5.03,5.03
1929,NL,6609,6609,1222,5.41,5.41
1930,AL,6670,6670,1232,5.41,5.41
1930,NL,7025,7025,1232,5.7,5.7
